Summary,Melange Notes,Time to Complete (Hours),Mentor IDs,Difficulty,Categories,Task Tags,Id,Multple,Additional Notes (to be put in Melange),AllLabels
Import all public functions and classes into Sphinx: printing,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: series,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: simplify,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: solvers,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: statistics,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: tensor,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: utilities,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Add isympy -c qtconsole,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2632"">http://code.google.com/p/sympy/issues/detail?id=2632</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,  Printing,  ",2632,,,"CodeInCategory-Code, CodeInDifficulty-Medium, Printing, Priority-Medium, Type-Enhancement"
"Investigate ways to improve substitution, pattern matching, etc.","Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2762"">http://code.google.com/p/sympy/issues/detail?id=2762</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Research,"Python,  Matching,  ",2762,,,"CodeInCategory-Research, CodeInDifficulty-Medium, Matching, Priority-Medium, Type-Defect"
Improve our webpage,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2764"">http://code.google.com/p/sympy/issues/detail?id=2764</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Outreach,"Python,   ",2764,,,"CodeInCategory-Outreach, CodeInDifficulty-Medium, Priority-Medium, Type-Defect"
Translate tutorial to German,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2766"">http://code.google.com/p/sympy/issues/detail?id=2766</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.",96,asmeurer,Medium,Translation,"Python,    ",2766,,"We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.","CodeInCategory-Translation, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Translate tutorial to French,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2766"">http://code.google.com/p/sympy/issues/detail?id=2766</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.",96,krastanov,Medium,Translation,"Python,    ",2766,,"We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.","CodeInCategory-Translation, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Translate tutorial to Czech,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2766"">http://code.google.com/p/sympy/issues/detail?id=2766</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.",96,vperic,Medium,Translation,"Python,    ",2766,,"We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.","CodeInCategory-Translation, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Translate tutorial to Polish,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2766"">http://code.google.com/p/sympy/issues/detail?id=2766</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.",96,asmeurer,Medium,Translation,"Python,    ",2766,,"We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.","CodeInCategory-Translation, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Translate tutorial to Bulgarian,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2766"">http://code.google.com/p/sympy/issues/detail?id=2766</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.",96,krastanov,Medium,Translation,"Python,    ",2766,,"We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.","CodeInCategory-Translation, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Translate tutorial to Serbian,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2766"">http://code.google.com/p/sympy/issues/detail?id=2766</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.",96,vperic,Medium,Translation,"Python,    ",2766,,"We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.","CodeInCategory-Translation, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Improve the interface of SymPy Live,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2767"">http://code.google.com/p/sympy/issues/detail?id=2767</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,User Interface,"Python,  Live,  ",2767,,,"CodeInCategory-UI, CodeInDifficulty-Medium, Live, Priority-Medium, Type-Defect"
Update stuff that SymPy can do on the homepage,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2770"">http://code.google.com/p/sympy/issues/detail?id=2770</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,    ",2770,,,"CodeInCategory-Documentation, CodeInDifficulty-Medium, Documentation, Priority-Medium, Type-Defect"
``See Also`` feature in Geometry,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2779"">http://code.google.com/p/sympy/issues/detail?id=2779</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,   ",2779,,,"CodeInCategory-Documentation, CodeInDifficulty-Medium, Priority-Medium, Type-Enhancement"
Fill in missing tests for sympy.physics module in test_args.py,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2786"">http://code.google.com/p/sympy/issues/detail?id=2786</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,QualityAssurance,"Python,  Core,  ",2786,,,"CodeInCategory-QA, CodeInDifficulty-Medium, Core, Priority-High, Type-Defect"
Create sticker for SymPy based on the logo,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2787"">http://code.google.com/p/sympy/issues/detail?id=2787</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Outreach,"Python,   ",2787,,,"CodeInCategory-Outreach, CodeInDifficulty-Medium, Priority-Medium, Type-Defect"
Create examples/short tutorials using IPython's notebook (IPython >= 0.12),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2790"">http://code.google.com/p/sympy/issues/detail?id=2790</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Training,"Python,    ",2790,CodeInMultiple,,"CodeInCategory-Training, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Create examples/short tutorials using IPython's notebook (IPython >= 0.12),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2790"">http://code.google.com/p/sympy/issues/detail?id=2790</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Training,"Python,    ",2790,CodeInMultiple,,"CodeInCategory-Training, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Create examples/short tutorials using IPython's notebook (IPython >= 0.12),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2790"">http://code.google.com/p/sympy/issues/detail?id=2790</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Training,"Python,    ",2790,CodeInMultiple,,"CodeInCategory-Training, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Create examples/short tutorials using IPython's notebook (IPython >= 0.12),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2790"">http://code.google.com/p/sympy/issues/detail?id=2790</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Training,"Python,    ",2790,CodeInMultiple,,"CodeInCategory-Training, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Create examples/short tutorials using IPython's notebook (IPython >= 0.12),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2790"">http://code.google.com/p/sympy/issues/detail?id=2790</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Training,"Python,    ",2790,CodeInMultiple,,"CodeInCategory-Training, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Create examples/short tutorials using IPython's notebook (IPython >= 0.12),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2790"">http://code.google.com/p/sympy/issues/detail?id=2790</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Training,"Python,    ",2790,CodeInMultiple,,"CodeInCategory-Training, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
The dsolve solver for 1st_exact should use integration,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2793"">http://code.google.com/p/sympy/issues/detail?id=2793</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,   ",2793,,,"CodeInCategory-Code, CodeInDifficulty-Medium, Priority-Medium, Type-Defect"
"Implement ode solvers from the Moses ""Stormy Decade"" paper: Almost Linear","Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2794"">http://code.google.com/p/sympy/issues/detail?id=2794</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): There is a guide at the top of ode.py on how to add new solvers.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,    ",2794,,There is a guide at the top of ode.py on how to add new solvers.,"CodeInCategory-Code, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
"Implement ode solvers from the Moses ""Stormy Decade"" paper: Linear-Coefficients","Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2794"">http://code.google.com/p/sympy/issues/detail?id=2794</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): There is a guide at the top of ode.py on how to add new solvers.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,    ",2794,,There is a guide at the top of ode.py on how to add new solvers.,"CodeInCategory-Code, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
"Implement ode solvers from the Moses ""Stormy Decade"" paper: Substitution for x**n*y","Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2794"">http://code.google.com/p/sympy/issues/detail?id=2794</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): There is a guide at the top of ode.py on how to add new solvers.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,    ",2794,,There is a guide at the top of ode.py on how to add new solvers.,"CodeInCategory-Code, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Investigate a robust way to have translated documentation,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2795"">http://code.google.com/p/sympy/issues/detail?id=2795</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Research,"Python,   ",2795,,,"CodeInCategory-Research, CodeInDifficulty-Medium, Priority-Medium, Type-Defect"
Package the latest version of SymPy for the major distributions: Debian / Ubuntu,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2796"">http://code.google.com/p/sympy/issues/detail?id=2796</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Outreach,"Python,    ",2796,,,"CodeInCategory-Outreach, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Package the latest version of SymPy for the major distributions: Fink,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2796"">http://code.google.com/p/sympy/issues/detail?id=2796</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): See http://www.finkproject.org/doc/quick-start-pkg/howtostart.php?phpLang=en#Submit and http://www.finkproject.org/doc/packaging/index.php. Also, ask the Fink guys if they want a packaged version of SymPy 0.7.0 for the older systems that have Python 2.4.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Outreach,"Python,    ",2796,,"See http://www.finkproject.org/doc/quick-start-pkg/howtostart.php?phpLang=en#Submit and http://www.finkproject.org/doc/packaging/index.php. Also, ask the Fink guys if they want a packaged version of SymPy 0.7.0 for the older systems that have Python 2.4.","CodeInCategory-Outreach, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Package the latest version of SymPy for the major distributions: MacPorts,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2796"">http://code.google.com/p/sympy/issues/detail?id=2796</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Outreach,"Python,    ",2796,,,"CodeInCategory-Outreach, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
"Package the latest version of SymPy for the major distributions: Fedora
","Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2796"">http://code.google.com/p/sympy/issues/detail?id=2796</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Outreach,"Python,    ",2796,,,"CodeInCategory-Outreach, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Package the latest version of SymPy for the major distributions: openSUSE,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2796"">http://code.google.com/p/sympy/issues/detail?id=2796</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Outreach,"Python,    ",2796,,,"CodeInCategory-Outreach, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Package the latest version of SymPy for the major distributions: Slackware,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2796"">http://code.google.com/p/sympy/issues/detail?id=2796</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Outreach,"Python,    ",2796,,,"CodeInCategory-Outreach, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Package the latest version of SymPy for the major distributions: other?,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2796"">http://code.google.com/p/sympy/issues/detail?id=2796</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): If your favorite distribution/package manager does not have an up-to-date SymPy and there is not an explicit task for it, then claim this task.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Outreach,"Python,    ",2796,,"If your favorite distribution/package manager does not have an up-to-date SymPy and there is not an explicit task for it, then claim this task.","CodeInCategory-Outreach, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Translate tutorial to Russian,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2766"">http://code.google.com/p/sympy/issues/detail?id=2766</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.",96,proga_goodok_ru,Medium,Translation,"Python,    ",2766,,"We only have one person available per language, so review may take a few days. Please contact us before starting a translation task, to make sure that someone is available to verify the translation.","CodeInCategory-Translation, CodeInDifficulty-Medium, CodeInMultiple, Priority-Medium, Type-Defect"
Research ways to extract statistics from the issue tracker,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2798"">http://code.google.com/p/sympy/issues/detail?id=2798</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Research,"Python,   ",2798,,,"CodeInCategory-Research, CodeInDifficulty-Medium, Priority-Medium, Type-Defect"
lambdify() is not mentioned anywhere,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2801"">http://code.google.com/p/sympy/issues/detail?id=2801</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,     ",2801,,,"CodeInCategory-Documentation, CodeInDifficulty-Medium, Documentation, Priority-Critical, Type-Defect, Milestone-Release0.7.2"
Investigate how to make the rewrite framework more flexible,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2803"">http://code.google.com/p/sympy/issues/detail?id=2803</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Research,"Python,   ",2803,,,"CodeInCategory-Research, CodeInDifficulty-Medium, Priority-Medium, Type-Defect"
"integrate() can not integrate the Abs() function, fix it","Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2841"">http://code.google.com/p/sympy/issues/detail?id=2841</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): Marking as Code-In difficulty medium as there is no idea why this is happening.  It could actually be easy or hard.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,   Integration,  ",2841,,Marking as Code-In difficulty medium as there is no idea why this is happening.  It could actually be easy or hard.,"CodeInCategory-Code, CodeInDifficulty-Medium, CodeInImportedIntoSpreadsheet, Integration, Priority-Medium, Type-Defect"
Better heuristics and simplification for integral of cos(x)/sin(x)**n and similar,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2849"">http://code.google.com/p/sympy/issues/detail?id=2849</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,   Integration,  ",2849,,,"CodeInCategory-Code, CodeInDifficulty-Medium, CodeInImportedIntoSpreadsheet, Integration, Priority-Medium, Type-Defect"
